Metric,Value
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79794
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79943
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.00206383
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00204236
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000501465
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00204236
design_powergrid__voltage__worst,0.00204236
design_powergrid__voltage__worst__net:VPWR,1.79794
design_powergrid__drop__worst,0.00206383
design_powergrid__drop__worst__net:VPWR,0.00206383
design_powergrid__voltage__worst__net:VGND,0.00204236
design_powergrid__drop__worst__net:VGND,0.00204236
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000573999999999999965978603189142859264393337070941925048828125
ir__drop__worst,0.002060000000000000199007477164059309870935976505279541015625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
